Year,District,Unemployment_Rate
2023,Gampaha,4.0
2023,Kalutara,6.3
2023,Kandy,7.4
2023,Matale,3.5
2023,Nuwara Eliya,2.9
2023,Galle,6.2
2023,Matara,6.1
2023,Hambantota,7.3
2023,Jaffna,4.0
2023,Mannar,2.1
2023,Vavuniya,3.0
2023,Mullaitivu,2.2
2023,Kilinochchi,3.9
2023,Batticaloa,6.1
2023,Ampara,3.1
2023,Trincomalee,2.5
2023,Kurunegala,3.4
2023,Puttalam,3.5
2023,Anuradhapura,5.2
2023,Polonnaruwa,3.9
2023,Badulla,8.0
2023,Monaragala,4.0
2023,Rathnapura,3.9
2023,Kegalle,5.2
2024,Colombo,3.4
2024,Gampaha,3.1
2024,Kalutara,5.0
2024,Kandy,6.0
2024,Matale,4.5
2024,Nuwara Eliya,4.1
2024,Galle,6.3
2024,Matara,6.1
2024,Hambantota,5.5
2024,Jaffna,3.6
2024,Mannar,1.8
2024,Vavuniya,2.3
2024,Mullaitivu,3.3
2024,Kilinochchi,5.0
2024,Batticaloa,4.6
2024,Ampara,4.5
2024,Trincomalee,2.0
2024,Kurunegala,4.6
2024,Puttalam,2.4
2024,Anuradhapura,3.9
2024,Polonnaruwa,2.6
2024,Badulla,4.5
2024,Monaragala,7.0
2024,Rathnapura,4.2
2024,Kegalle,5.6
